word,label,confidence,reason,frequency
अब,correct,high,found in reference vocabulary,258
काफी,correct,high,found in reference vocabulary,182
अच्छा,correct,high,found in reference vocabulary,580
होता,correct,high,found in reference vocabulary,593
है,correct,high,found in reference vocabulary,4853
क्योंकि,correct,high,found in reference vocabulary,221
उनकी,correct,high,found in reference vocabulary,66
जनसंख्या,incorrect,low,no close match found in vocabulary (best=61.53846153846154),1
बहुत,correct,high,found in reference vocabulary,741
कम,correct,high,found in reference vocabulary,97
दी,correct,high,found in reference vocabulary,31
जा,correct,high,found in reference vocabulary,125
रही,correct,high,found in reference vocabulary,242
तो,correct,high,found in reference vocabulary,3495
हमें,correct,high,found in reference vocabulary,251
उनको,correct,high,found in reference vocabulary,133
देखना,correct,high,found in reference vocabulary,33
था,correct,high,found in reference vocabulary,897
एक,correct,high,found in reference vocabulary,774
मतलब,correct,high,found in reference vocabulary,988
वो,correct,high,found in reference vocabulary,1189
लेकिन,correct,high,found in reference vocabulary,272
हमारा,correct,high,found in reference vocabulary,127
प्रोजेक्ट,correct,high,found in reference vocabulary,8
भी,correct,high,found in reference vocabulary,1592
कि,correct,high,found in reference vocabulary,1435
जो,correct,high,found in reference vocabulary,1141
जन,correct,high,found in reference vocabulary,6
जाती,correct,high,found in reference vocabulary,108
पाई,correct,high,found in reference vocabulary,4
उधर,correct,high,found in reference vocabulary,31
की,correct,high,found in reference vocabulary,815
एरिया,correct,high,found in reference vocabulary,27
में,correct,high,found in reference vocabulary,1823
उसके,correct,high,found in reference vocabulary,260
बारे,correct,high,found in reference vocabulary,140
अनुभव,correct,high,found in reference vocabulary,81
करके,correct,high,found in reference vocabulary,154
कुछ,correct,high,found in reference vocabulary,666
लिखना,correct,high,found in reference vocabulary,3
वह,correct,high,found in reference vocabulary,138
बिना,correct,high,found in reference vocabulary,33
देखिए,correct,high,found in reference vocabulary,24
नहीं,correct,high,found in reference vocabulary,1461
हो,correct,high,found in reference vocabulary,940
सकती,correct,high,found in reference vocabulary,50
थी,correct,high,found in reference vocabulary,356
हम,correct,high,found in reference vocabulary,1010
वहां,correct,high,found in reference vocabulary,165
गया,correct,high,found in reference vocabulary,278
थे,correct,high,found in reference vocabulary,602
कुड़रमा,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
घाटी,incorrect,medium,possible typo of 'घाट' (similarity=85.71428571428572),1
तरफ,correct,high,found in reference vocabulary,30
पर,correct,high,found in reference vocabulary,418
दिवोग,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
जंगली,incorrect,medium,possible typo of 'जंगल' (similarity=88.88888888888889),1
खांड,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
जनजाति,incorrect,low,no close match found in vocabulary (best=60.0),1
पाए,correct,high,found in reference vocabulary,16
ना,correct,high,found in reference vocabulary,621
जंगल,correct,high,found in reference vocabulary,15
का,correct,high,found in reference vocabulary,830
सफर,correct,high,found in reference vocabulary,14
जब,correct,high,found in reference vocabulary,355
रहने,correct,high,found in reference vocabulary,22
के,correct,high,found in reference vocabulary,1419
लिए,correct,high,found in reference vocabulary,365
गए,correct,high,found in reference vocabulary,176
नातो,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
चाहते,correct,high,found in reference vocabulary,33
साथ,correct,high,found in reference vocabulary,309
जैसे,correct,high,found in reference vocabulary,618
वहाँ,correct,high,found in reference vocabulary,98
पहले,correct,high,found in reference vocabulary,245
एंटर,incorrect,medium,possible typo of 'एंट्री' (similarity=80.0),1
किये,correct,high,found in reference vocabulary,21
गिर,correct,high,found in reference vocabulary,21
लगड़ा,incorrect,medium,possible typo of 'लड़का' (similarity=80.0),1
उपर,correct,high,found in reference vocabulary,12
से,correct,high,found in reference vocabulary,1200
नीचे,correct,high,found in reference vocabulary,24
पहली,correct,high,found in reference vocabulary,17
बारी,correct,high,found in reference vocabulary,5
चलना,correct,high,found in reference vocabulary,9
आता,correct,high,found in reference vocabulary,125
न,correct,high,found in reference vocabulary,221
लैंड,correct,medium,medium frequency in dataset (n=2),2
इधर,correct,high,found in reference vocabulary,26
जाओ,correct,high,found in reference vocabulary,18
लुढ़क,incorrect,medium,possible typo of 'लुक' (similarity=75.0),1
जाओगे,correct,high,found in reference vocabulary,13
हां,correct,high,found in reference vocabulary,1211
फिर,correct,high,found in reference vocabulary,540
दिन,correct,high,found in reference vocabulary,167
भर,correct,high,found in reference vocabulary,11
खोजने,correct,medium,medium frequency in dataset (n=2),2
वक्त,correct,high,found in reference vocabulary,11
बीत,incorrect,medium,possible typo of 'बीता' (similarity=85.71428571428572),1
गया।,correct,high,found in reference vocabulary,4
रात,correct,high,found in reference vocabulary,67
आई,correct,high,found in reference vocabulary,55
हमने,correct,high,found in reference vocabulary,86
टेंट,correct,high,found in reference vocabulary,4
गड़ा,incorrect,medium,possible typo of 'झगड़ा' (similarity=88.88888888888889),1
और,correct,high,found in reference vocabulary,1257
रहा,correct,high,found in reference vocabulary,386
पता,correct,high,found in reference vocabulary,136
जैसी,correct,high,found in reference vocabulary,7
हुआ,correct,high,found in reference vocabulary,230
शाम,correct,high,found in reference vocabulary,26
छै,incorrect,low,no close match found in vocabulary (best=50.0),1
सात,correct,high,found in reference vocabulary,16
इतना,correct,high,found in reference vocabulary,95
अजीब,correct,high,found in reference vocabulary,14
सा,correct,high,found in reference vocabulary,183
आवाज,correct,high,found in reference vocabulary,84
आने,correct,high,found in reference vocabulary,34
लगा,correct,high,found in reference vocabulary,135
डर,correct,high,found in reference vocabulary,33
अगर,correct,high,found in reference vocabulary,467
कोई,correct,high,found in reference vocabulary,525
टैंट,incorrect,medium,possible typo of 'टैलेंट' (similarity=80.0),1
उखाड़,correct,high,found in reference vocabulary,3
ही,correct,high,found in reference vocabulary,779
बाग,correct,high,found in reference vocabulary,3
जाते,correct,high,found in reference vocabulary,198
आया,correct,high,found in reference vocabulary,67
ऐसा,correct,high,found in reference vocabulary,494
लगता,correct,high,found in reference vocabulary,211
सारे,correct,high,found in reference vocabulary,98
सब,correct,high,found in reference vocabulary,252
अपना,correct,high,found in reference vocabulary,183
कैम्प,correct,medium,close match to 'कैम्पस' (similarity=90.9090909090909),1
डाल,correct,high,found in reference vocabulary,32
रह,correct,high,found in reference vocabulary,35
अकेली,correct,high,found in reference vocabulary,3
सारा,correct,high,found in reference vocabulary,24
बैठे,correct,high,found in reference vocabulary,20
मुझे,correct,high,found in reference vocabulary,371
करनी,correct,high,found in reference vocabulary,38
घूमने,correct,high,found in reference vocabulary,45
बात,correct,high,found in reference vocabulary,401
को,correct,high,found in reference vocabulary,815
छः,correct,high,found in reference vocabulary,5
आठ,correct,high,found in reference vocabulary,12
किलोमीटर,correct,high,found in reference vocabulary,15
नौ,correct,high,found in reference vocabulary,7
बजे,correct,high,found in reference vocabulary,13
बाद,correct,high,found in reference vocabulary,224
शांति,incorrect,medium,possible typo of 'शांत' (similarity=88.88888888888889),1
सुकुन,correct,high,found in reference vocabulary,3
मिला,correct,high,found in reference vocabulary,23
सुबह,correct,high,found in reference vocabulary,35
घर,correct,high,found in reference vocabulary,173
उठते,correct,medium,medium frequency in dataset (n=2),2
हैं,correct,high,found in reference vocabulary,1647
ये,correct,high,found in reference vocabulary,692
काम,correct,high,found in reference vocabulary,209
करो,correct,high,found in reference vocabulary,36
सर,correct,high,found in reference vocabulary,425
उठाने,correct,high,found in reference vocabulary,5
वाला,correct,high,found in reference vocabulary,94
आराम,correct,high,found in reference vocabulary,12
सो,correct,high,found in reference vocabulary,11
रहे,correct,high,found in reference vocabulary,347
दस,correct,high,found in reference vocabulary,42
बज,correct,high,found in reference vocabulary,4
सुना,correct,high,found in reference vocabulary,26
खंड,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
ऐसे,correct,high,found in reference vocabulary,262
हम्म,correct,high,found in reference vocabulary,353
लोग,correct,high,found in reference vocabulary,425
होती,correct,high,found in reference vocabulary,266
मम्मी,correct,high,found in reference vocabulary,41
आती,correct,high,found in reference vocabulary,73
आए,correct,high,found in reference vocabulary,53
थे।,correct,high,found in reference vocabulary,19
कैसे,correct,high,found in reference vocabulary,104
उठाएं,incorrect,medium,possible typo of 'उठाए' (similarity=88.88888888888889),1
उठा,correct,high,found in reference vocabulary,11
बाहर,correct,high,found in reference vocabulary,68
कर,correct,high,found in reference vocabulary,586
दिया,correct,high,found in reference vocabulary,91
हाँ,correct,high,found in reference vocabulary,472
अराम,incorrect,medium,possible typo of 'आराम' (similarity=75.0),1
उठे,incorrect,medium,possible typo of 'उठने' (similarity=85.71428571428572),1
उन,correct,high,found in reference vocabulary,68
चिला,incorrect,medium,possible typo of 'चला' (similarity=85.71428571428572),1
मेको,incorrect,medium,possible typo of 'मेरको' (similarity=88.88888888888889),1
समझ,correct,high,found in reference vocabulary,69
आ,correct,high,found in reference vocabulary,382
क्या,correct,high,found in reference vocabulary,505
बोल,correct,high,found in reference vocabulary,94
हुर,correct,medium,medium frequency in dataset (n=2),2
बदक,correct,medium,medium frequency in dataset (n=2),2
उड़न्टा,incorrect,low,no close match found in vocabulary (best=61.53846153846154),1
पटक,incorrect,medium,possible typo of 'पक' (similarity=80.0),1
बार,correct,high,found in reference vocabulary,189
किस,correct,high,found in reference vocabulary,48
भाषा,correct,high,found in reference vocabulary,11
हमारे,correct,high,found in reference vocabulary,247
गार्ड,incorrect,medium,possible typo of 'कार्ड' (similarity=80.0),1
अंकल,incorrect,medium,possible typo of 'अंक' (similarity=85.71428571428572),1
आके,correct,high,found in reference vocabulary,10
बताए,correct,high,found in reference vocabulary,4
लोग।,correct,high,found in reference vocabulary,3
सायद,correct,high,found in reference vocabulary,3
खतरा,correct,high,found in reference vocabulary,6
महसूस,correct,high,found in reference vocabulary,22
बाहरी,correct,high,found in reference vocabulary,5
अपने,correct,high,found in reference vocabulary,310
किए,correct,high,found in reference vocabulary,16
हमको,correct,high,found in reference vocabulary,54
छोड़,correct,high,found in reference vocabulary,27
दिए,correct,high,found in reference vocabulary,19
नहीं।,correct,high,found in reference vocabulary,7
अ,correct,high,found in reference vocabulary,318
रोड,correct,high,found in reference vocabulary,34
पे,correct,high,found in reference vocabulary,449
छोड़ने,correct,high,found in reference vocabulary,12
अपनी,correct,high,found in reference vocabulary,107
दुबारा,correct,high,found in reference vocabulary,3
घाटे,incorrect,medium,possible typo of 'घाट' (similarity=85.71428571428572),1
