segment,reference,n_overrides,Model H_std_wer,Model H_lattice_wer,Model H_improved,Model i_std_wer,Model i_lattice_wer,Model i_improved,Model k_std_wer,Model k_lattice_wer,Model k_improved,Model l_std_wer,Model l_lattice_wer,Model l_improved,Model m_std_wer,Model m_lattice_wer,Model m_improved,Model n_std_wer,Model n_lattice_wer,Model n_improved
0,वही अपना खेती बाड़ी और क्या,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.3333,0.1667,True,0.0,0.0,False
1,मौनता का अर्थ क्या होता है,0,0.0,0.0,False,0.0,0.0,False,1.0,0.3333,True,0.3333,0.1667,True,1.0,0.1667,True,0.3333,0.0,True
2,और रक्षाबंधन पे चलो बहनों को,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.3333,0.1667,True,0.3333,0.1667,True
3,एक सिंपल और सादा वे में,0,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,0.3333,0.1667,True,0.0,0.0,False,0.0,0.0,False
4,आने वाली चुनौतियों  का इंतजार करना,0,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
5,अचानक आई मुश्किलों का सामना करना,0,0.0,0.0,False,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False,1.5,0.6667,True,0.1667,0.1667,False
6,सर आपकी इच्छा जय सियाराम,0,0.4,0.2,True,0.0,0.0,False,0.8,0.2,True,0.4,0.2,True,0.4,0.0,True,0.4,0.2,True
7,जी फीडबैक मिलने  पर सुधार करना,0,0.0,0.0,False,0.0,0.0,False,0.3333,0.0,True,0.3333,0.0,True,0.0,0.0,False,0.1667,0.1667,False
8,जो एक महत्वपूर्ण भूमिका निभाते हैं,0,0.0,0.0,False,0.1667,0.0,True,0.1667,0.0,True,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False
9,जीवन की चुनौतियों का सामना करना,0,0.0,0.0,False,0.1667,0.0,True,0.1667,0.0,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
10,हम्म बहुत प्योर हार्ट रहता है सबका,0,0.1429,0.1429,False,0.1429,0.0,True,0.5714,0.1429,True,0.2857,0.1429,True,0.2857,0.1429,True,0.1429,0.1429,False
11,पूजा और प्रार्थना में  शामिल होना,0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.1667,0.0,True,0.0,0.0,False
12,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी वैसे ही है ना अपन भी कुछ अनहेल्दी नहीं खाते हैं ना तो अपना कुछ ऐसे अलग अलग दिशाओं में गया हो ऐसा कुछ हमारे लिए तो नहीं है ये।,1,0.0233,0.0,True,0.0233,0.0,True,0.0698,0.0,True,0.1395,0.0,True,0.1163,0.0233,True,0.0465,0.0233,True
