word,spelling_status,confidence_score,classification_reason,frequency
है,correct spelling,high,found in reference vocabulary,4853
तो,correct spelling,high,found in reference vocabulary,3495
जी,correct spelling,high,found in reference vocabulary,2143
में,correct spelling,high,found in reference vocabulary,1823
हैं,correct spelling,high,found in reference vocabulary,1647
भी,correct spelling,high,found in reference vocabulary,1592
नहीं,correct spelling,high,found in reference vocabulary,1461
कि,correct spelling,high,found in reference vocabulary,1435
के,correct spelling,high,found in reference vocabulary,1419
और,correct spelling,high,found in reference vocabulary,1257
हां,correct spelling,high,found in reference vocabulary,1211
से,correct spelling,high,found in reference vocabulary,1200
वो,correct spelling,high,found in reference vocabulary,1189
जो,correct spelling,high,found in reference vocabulary,1141
हम,correct spelling,high,found in reference vocabulary,1010
मतलब,correct spelling,high,found in reference vocabulary,988
हो,correct spelling,high,found in reference vocabulary,940
था,correct spelling,high,found in reference vocabulary,897
मैं,correct spelling,high,found in reference vocabulary,867
का,correct spelling,high,found in reference vocabulary,830
आप,correct spelling,high,found in reference vocabulary,824
की,correct spelling,high,found in reference vocabulary,815
को,correct spelling,high,found in reference vocabulary,815
ही,correct spelling,high,found in reference vocabulary,779
एक,correct spelling,high,found in reference vocabulary,774
बहुत,correct spelling,high,found in reference vocabulary,741
ये,correct spelling,high,found in reference vocabulary,692
कुछ,correct spelling,high,found in reference vocabulary,666
ना,correct spelling,high,found in reference vocabulary,621
जैसे,correct spelling,high,found in reference vocabulary,618
थे,correct spelling,high,found in reference vocabulary,602
होता,correct spelling,high,found in reference vocabulary,593
कर,correct spelling,high,found in reference vocabulary,586
अच्छा,correct spelling,high,found in reference vocabulary,580
फिर,correct spelling,high,found in reference vocabulary,540
कोई,correct spelling,high,found in reference vocabulary,525
क्या,correct spelling,high,found in reference vocabulary,505
ऐसा,correct spelling,high,found in reference vocabulary,494
हाँ,correct spelling,high,found in reference vocabulary,472
अगर,correct spelling,high,found in reference vocabulary,467
पे,correct spelling,high,found in reference vocabulary,449
हूं,correct spelling,high,found in reference vocabulary,432
सर,correct spelling,high,found in reference vocabulary,425
लोग,correct spelling,high,found in reference vocabulary,425
पर,correct spelling,high,found in reference vocabulary,418
या,correct spelling,high,found in reference vocabulary,405
बात,correct spelling,high,found in reference vocabulary,401
हा,correct spelling,high,found in reference vocabulary,396
रहा,correct spelling,high,found in reference vocabulary,386
बिल्कुल,correct spelling,high,found in reference vocabulary,383
आ,correct spelling,high,found in reference vocabulary,382
मुझे,correct spelling,high,found in reference vocabulary,371
लिए,correct spelling,high,found in reference vocabulary,365
करना,correct spelling,high,found in reference vocabulary,359
थी,correct spelling,high,found in reference vocabulary,356
जब,correct spelling,high,found in reference vocabulary,355
करते,correct spelling,high,found in reference vocabulary,355
मेरे,correct spelling,high,found in reference vocabulary,354
हम्म,correct spelling,high,found in reference vocabulary,353
रहे,correct spelling,high,found in reference vocabulary,347
आपको,correct spelling,high,found in reference vocabulary,339
अ,correct spelling,high,found in reference vocabulary,318
ज्यादा,correct spelling,high,found in reference vocabulary,317
अपने,correct spelling,high,found in reference vocabulary,310
साथ,correct spelling,high,found in reference vocabulary,309
कभी,correct spelling,high,found in reference vocabulary,287
गया,correct spelling,high,found in reference vocabulary,278
किसी,correct spelling,high,found in reference vocabulary,275
लेकिन,correct spelling,high,found in reference vocabulary,272
उस,correct spelling,high,found in reference vocabulary,267
होती,correct spelling,high,found in reference vocabulary,266
ऐसे,correct spelling,high,found in reference vocabulary,262
उसके,correct spelling,high,found in reference vocabulary,260
अब,correct spelling,high,found in reference vocabulary,258
सब,correct spelling,high,found in reference vocabulary,252
हमें,correct spelling,high,found in reference vocabulary,251
थोड़ा,correct spelling,high,found in reference vocabulary,251
टाइम,correct spelling,high,found in reference vocabulary,248
हमारे,correct spelling,high,found in reference vocabulary,247
पहले,correct spelling,high,found in reference vocabulary,245
सकते,correct spelling,high,found in reference vocabulary,245
रही,correct spelling,high,found in reference vocabulary,242
चाहिए,correct spelling,high,found in reference vocabulary,240
अभी,correct spelling,high,found in reference vocabulary,240
मैंने,correct spelling,high,found in reference vocabulary,239
जाता,correct spelling,high,found in reference vocabulary,237
हुआ,correct spelling,high,found in reference vocabulary,230
यह,correct spelling,high,found in reference vocabulary,227
बाद,correct spelling,high,found in reference vocabulary,224
क्योंकि,correct spelling,high,found in reference vocabulary,221
न,correct spelling,high,found in reference vocabulary,221
होते,correct spelling,high,found in reference vocabulary,220
इस,correct spelling,high,found in reference vocabulary,218
लगता,correct spelling,high,found in reference vocabulary,211
काम,correct spelling,high,found in reference vocabulary,209
हूँ,correct spelling,high,found in reference vocabulary,208
चीज,correct spelling,high,found in reference vocabulary,206
जाते,correct spelling,high,found in reference vocabulary,198
कहीं,correct spelling,high,found in reference vocabulary,195
उसको,correct spelling,high,found in reference vocabulary,193
बार,correct spelling,high,found in reference vocabulary,189
आपने,correct spelling,high,found in reference vocabulary,188
बस,correct spelling,high,found in reference vocabulary,185
सा,correct spelling,high,found in reference vocabulary,183
अपना,correct spelling,high,found in reference vocabulary,183
काफी,correct spelling,high,found in reference vocabulary,182
उसमें,correct spelling,high,found in reference vocabulary,182
ठीक,correct spelling,high,found in reference vocabulary,177
सही,correct spelling,high,found in reference vocabulary,177
गए,correct spelling,high,found in reference vocabulary,176
